researchExp,industryExp,toeflScore,internExp,greV,greQ,greA,univName,cgpa_4
0,24,113.0,2.0,159.0,170.0,4.0,Virginia Polytechnic Institute and State University,3.08
0,0,102.0,0.0,150.0,167.0,3.0,Virginia Polytechnic Institute and State University,3.212
12,24,111.0,4.0,158.0,170.0,4.5,Virginia Polytechnic Institute and State University,3.648
0,0,111.0,1.0,152.0,161.0,4.0,Virginia Polytechnic Institute and State University,3.64
0,27,105.0,0.0,154.0,165.0,3.5,Virginia Polytechnic Institute and State University,2.8040000000000003
4,22,116.0,4.0,152.0,167.0,4.0,Virginia Polytechnic Institute and State University,3.788
0,0,116.0,0.0,158.0,170.0,4.0,Virginia Polytechnic Institute and State University,3.408
0,0,117.0,2.0,158.0,170.0,4.5,Virginia Polytechnic Institute and State University,3.708
0,0,105.0,0.0,167.0,168.0,4.0,Virginia Polytechnic Institute and State University,2.8520000000000003
0,0,109.0,0.0,154.0,162.0,3.5,Virginia Polytechnic Institute and State University,3.48
0,0,109.0,0.0,158.0,165.0,3.5,Virginia Polytechnic Institute and State University,3.548
0,0,112.0,0.0,152.0,165.0,4.5,Virginia Polytechnic Institute and State University,2.9920000000000004
7,0,114.0,2.0,163.0,166.0,4.5,Virginia Polytechnic Institute and State University,3.58
0,0,108.0,0.0,161.0,167.0,4.0,Virginia Polytechnic Institute and State University,3.236
0,0,115.0,0.0,161.0,170.0,4.5,Virginia Polytechnic Institute and State University,3.216
0,0,111.0,0.0,162.0,168.0,3.0,Virginia Polytechnic Institute and State University,3.088
0,0,110.0,0.0,160.0,170.0,4.0,Virginia Polytechnic Institute and State University,3.4056
9,18,108.0,6.0,156.0,163.0,3.0,Virginia Polytechnic Institute and State University,2.8000000000000003
0,0,102.0,0.0,150.0,165.0,3.0,Virginia Polytechnic Institute and State University,3.2319999999999998
0,0,111.0,0.0,148.0,167.0,4.0,Virginia Polytechnic Institute and State University,3.576
0,0,107.0,0.0,165.0,167.0,4.0,Virginia Polytechnic Institute and State University,3.016
0,0,112.0,0.0,158.0,168.0,5.0,Virginia Polytechnic Institute and State University,3.6
0,44,107.0,12.0,152.0,170.0,3.5,Virginia Polytechnic Institute and State University,3.4000000000000004
0,0,110.0,0.0,151.0,164.0,4.0,Virginia Polytechnic Institute and State University,3.736
0,0,110.0,0.0,153.0,160.0,4.0,Virginia Polytechnic Institute and State University,3.5840000000000005
0,0,115.0,0.0,155.0,164.0,4.5,Virginia Polytechnic Institute and State University,3.3200000000000003
0,24,103.0,6.0,156.0,166.0,3.5,Virginia Polytechnic Institute and State University,3.12
0,0,100.0,2.0,150.0,160.0,4.0,Virginia Polytechnic Institute and State University,3.176
6,14,104.0,6.0,158.0,164.0,3.5,Virginia Polytechnic Institute and State University,3.6719999999999997
0,0,103.0,0.0,153.0,166.0,4.0,Virginia Polytechnic Institute and State University,4.0
0,0,109.0,0.0,155.0,170.0,3.5,Virginia Polytechnic Institute and State University,3.2
0,0,114.0,0.0,166.0,166.0,4.0,Virginia Polytechnic Institute and State University,3.4357894736842107
0,0,114.0,6.0,155.0,167.0,4.0,Virginia Polytechnic Institute and State University,3.128
0,0,113.0,0.0,157.0,164.0,5.0,Virginia Polytechnic Institute and State University,3.2920000000000003
0,22,101.0,2.0,153.0,162.0,4.0,Virginia Polytechnic Institute and State University,3.836
15,0,118.0,9.0,155.0,168.0,4.0,Virginia Polytechnic Institute and State University,2.8120000000000003
0,0,108.0,0.0,159.0,162.0,3.5,Virginia Polytechnic Institute and State University,3.76
2,34,113.0,6.0,154.0,163.0,4.0,Virginia Polytechnic Institute and State University,3.6
0,0,114.0,0.0,157.0,164.0,4.0,Virginia Polytechnic Institute and State University,3.347368421052632
30,0,114.0,0.0,156.0,168.0,5.0,Virginia Polytechnic Institute and State University,3.3246315789473684
0,0,111.0,0.0,157.0,164.0,3.5,Virginia Polytechnic Institute and State University,3.5840000000000005
0,0,114.0,0.0,156.0,167.0,4.0,Virginia Polytechnic Institute and State University,3.08
0,0,116.0,0.0,167.0,170.0,4.0,Virginia Polytechnic Institute and State University,3.788
0,0,111.0,0.0,157.0,163.0,3.0,Virginia Polytechnic Institute and State University,3.008
0,0,100.0,0.0,148.0,161.0,3.0,Virginia Polytechnic Institute and State University,3.4000000000000004
0,7,114.0,9.0,166.0,170.0,3.5,Virginia Polytechnic Institute and State University,2.68
0,0,114.0,0.0,157.0,166.0,4.0,Virginia Polytechnic Institute and State University,3.708
0,0,105.0,0.0,150.0,163.0,3.5,Virginia Polytechnic Institute and State University,3.5317894736842113
0,0,113.0,0.0,164.0,170.0,3.5,Virginia Polytechnic Institute and State University,3.0920000000000005
0,0,112.0,0.0,159.0,170.0,3.0,Virginia Polytechnic Institute and State University,3.1157894736842113
0,0,110.0,0.0,150.0,167.0,3.5,Virginia Polytechnic Institute and State University,0.3494736842105264
24,0,113.0,8.0,160.0,163.0,4.5,Virginia Polytechnic Institute and State University,3.0315789473684216
10,0,112.0,3.0,155.0,170.0,5.0,Virginia Polytechnic Institute and State University,3.6880000000000006
0,0,116.0,0.0,157.0,163.0,3.5,Virginia Polytechnic Institute and State University,3.0856
0,0,117.0,0.0,160.0,166.0,3.5,Virginia Polytechnic Institute and State University,3.5671578947368427
0,0,113.0,0.0,158.0,166.0,4.5,Virginia Polytechnic Institute and State University,3.212
0,30,104.0,0.0,155.0,165.0,3.5,Virginia Polytechnic Institute and State University,2.9894736842105267
0,0,108.0,0.0,155.0,166.0,4.0,Virginia Polytechnic Institute and State University,3.5840000000000005
0,0,112.0,7.0,154.0,168.0,4.0,Virginia Polytechnic Institute and State University,3.68
0,0,109.0,0.0,162.0,165.0,3.0,Virginia Polytechnic Institute and State University,2.8440000000000003
0,17,108.0,1.0,149.0,157.0,4.0,Virginia Polytechnic Institute and State University,3.347368421052632
1,0,107.0,3.0,151.0,161.0,4.0,Virginia Polytechnic Institute and State University,3.74
0,0,117.0,0.0,170.0,159.0,3.5,Virginia Polytechnic Institute and State University,3.824
0,0,110.0,0.0,155.0,170.0,3.5,Virginia Polytechnic Institute and State University,3.7039999999999997
0,0,114.0,0.0,162.0,165.0,5.0,Virginia Polytechnic Institute and State University,3.0280000000000005
0,24,111.0,12.0,163.0,167.0,4.0,Virginia Polytechnic Institute and State University,0.3494736842105264
0,30,113.0,4.0,158.0,170.0,3.5,Virginia Polytechnic Institute and State University,3.3200000000000003
0,0,116.0,0.0,163.0,167.0,5.5,Virginia Polytechnic Institute and State University,3.5240000000000005
0,36,105.0,3.0,155.0,168.0,3.5,Virginia Polytechnic Institute and State University,3.5520000000000005
0,0,112.0,0.0,152.0,157.0,3.5,Virginia Polytechnic Institute and State University,3.7200000000000006
0,0,109.0,0.0,157.0,168.0,3.0,Virginia Polytechnic Institute and State University,3.58
0,0,116.0,0.0,162.0,170.0,4.5,Virginia Polytechnic Institute and State University,3.5200000000000005
0,0,114.0,0.0,166.0,161.0,4.0,Virginia Polytechnic Institute and State University,3.2239999999999998
0,0,108.0,0.0,161.0,165.0,3.5,Virginia Polytechnic Institute and State University,3.596
0,27,107.0,0.0,155.0,161.0,4.0,Virginia Polytechnic Institute and State University,3.2421052631578946
0,0,109.0,0.0,161.0,169.0,4.0,Virginia Polytechnic Institute and State University,3.764
0,0,107.0,0.0,148.0,167.0,3.5,Virginia Polytechnic Institute and State University,3.5439999999999996
0,24,108.0,2.0,158.0,170.0,3.5,Virginia Polytechnic Institute and State University,2.8640000000000003
0,46,113.0,0.0,162.0,168.0,4.0,Virginia Polytechnic Institute and State University,3.0315789473684216
